wave,baren,vegetation,snow
2277.483643,0.259025,0.08784,0.012078
2287.443604,0.250175,0.084132,0.011593
2297.413574,0.246276,0.081557,0.010563
2307.373779,0.246826,0.080163,0.010224
2317.33374,0.236644,0.07503,0.009394
2327.293701,0.244961,0.075893,0.009142
2337.243652,0.231416,0.070123,0.008376
2347.203613,0.230243,0.067821,0.007416
2357.153564,0.242858,0.07055,0.007531
2367.09375,0.227633,0.063021,0.006888
2377.043701,0.23438,0.066008,0.006362
2386.993652,0.237607,0.062787,0.006824
2396.933594,0.236945,0.059771,0.006323
2406.873779,0.224857,0.056162,0.006108
2416.803711,0.228211,0.054983,0.00549
2426.743652,0.223114,0.052701,0.005946
2436.673584,0.217122,0.04915,0.005486
2446.60376,0.186475,0.043113,0.004252
